pk,title,overview,release_date,poster_path
24,Cazadora,"In a dystopian future, a mother and her teenage son go hunting in the mountains and encounter a stranger who threatens to upend their relationship.",2023-01-19,/8QxCd3pSSrj6QqaG4fkNkaJmUa.jpg
25,Unhappily Ever After,"María José and Alfredo are about to celebrate their 20th anniversary and their children give them a trip to the hotel where they celebrated their honeymoon, but a spell will make them repeat the same day.",2023-01-26,/qiAM7Y8xF8wJDDsjeSuLgzyFGmd.jpg
26,The Exorcist,"Ophelia, a young nun recently arriving in the town of San Ramon, is forced to perform an exorcism on a pregnant woman in danger of dying. Just when she thinks her possession has ended, she discovers that the evil presence hasn't disappeared yet. The director of the award-winning Here Comes the Devil and Late Phases adds a new twist to possession movies in one of this year's Latin American horror surprises.",2022-11-02,/d07xtqwq1uriQ1hda6qeu8Skt5m.jpg
27,Prizefighter: The Life of Jem Belcher,"At the turn of the 19th century, Pugilism was the sport of kings and a gifted young boxer fought his way to becoming champion of England.",2022-06-30,/x3PIk93PTbxT88ohfeb26L1VpZw.jpg
28,Gold Run,"Fredrik isn’t the bravest of men, but now he is faced with a great responsibility and an enormous task - to get the entire Norwegian gold reserve away from the Nazis during the invasion of Norway.",2022-12-15,/6E4LopmCMUXcMLIv7o3jw1xQrgJ.jpg
29,Plane,"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",2023-01-12,/qi9r5xBgcc9KTxlOLjssEbDgO0J.jpg
30,Evil Dead Rise,Two sisters find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the most nightmarish version of family imaginable.,2023-04-12,/5ik4ATKmNtmJU6AYD0bLm56BCVM.jpg
31,The Mummy Resurrection,"When an infamous ""cursed"" Egyptian sarcophagus falls into the hands of unscrupulous huckster Everett Randolph, he becomes obsessed with resurrecting the mummified princess held within it.",2023-01-02,/d0pt6KlVvmtG0uhccWjgWfIqJee.jpg
32,Knock at the Cabin,"While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.",2023-02-01,/dm06L9pxDOL9jNSK4Cb6y139rrG.jpg
33,The Devil Conspiracy,"The hottest biotech company in the world has discovered they can clone history’s most influential people from the dead. Now, they are auctioning clones of Michelangelo, Galileo, Vivaldi, and others for tens of millions of dollars to the world’s ultra-rich. But when they steal the Shroud of Turin and clone the DNA of Jesus Christ, all hell breaks loose.",2023-01-13,/2lUYbD2C3XSuwqMUbDVDQuz9mqz.jpg
34,M3GAN,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",2022-12-28,/d9nBoowhjiiYc4FBNtQkPY7c11H.jpg
35,Shotgun Wedding,"Darcy and Tom gather their families for the ultimate destination wedding but when the entire party is taken hostage, “’Til Death Do Us Part” takes on a whole new meaning in this hilarious, adrenaline-fueled adventure as Darcy and Tom must save their loved ones—if they don’t kill each other first.",2022-12-28,/t79ozwWnwekO0ADIzsFP1E5SkvR.jpg
36,Sayen,"Sayen is hunting down the men who murdered her grandmother. Using her training and knowledge of nature, she is able to turn the tables on them, learning of a conspiracy from a corporation that threatens her people's ancestral lands.",2023-03-03,/aCy61aU7BMG7SfhkaAaasS0KzUO.jpg
37,Die Hart,"Kevin Hart - playing a version of himself - is on a death-defying quest to become an action star. And with a little help from John Travolta, Nathalie Emmanuel, and Josh Hartnett - he just might pull it off.",2023-02-22,/1EnBjTJ5utgT1OXYBZ8YwByRCzP.jpg
38,Batman: The Doom That Came to Gotham,"Explorer Bruce Wayne accidentally unleashes an ancient evil, and returns to Gotham after being away for two decades. There, Batman battles Lovecraftian supernatural forces and encounters allies and enemies such as Green Arrow, Ra's al Ghul, Mr. Freeze, Killer Croc, Two-Face and James Gordon.",2023-03-10,/hrATQE8ScQceohwInaMluluNEaf.jpg
39,The Magician's Elephant,"Peter is searching for his long-lost sister when he crosses paths with a fortune teller in the market square. His one one question is: is his sister still alive? The answer, that he must find a mysterious elephant and the magician who will conjure it, sets Peter off on a journey to complete three seemingly impossible tasks that will change the face of his town forever.",2023-03-10,/cAoAgzOCxSytYBqqCQulhXNR3LB.jpg
40,Shark Side of the Moon,"Decades ago, the USSR developed unkillable sharks and launched them to the moon. Today, a team of American astronauts will endure the fight of their lives.",2022-08-12,/v5CfpzxoJDkZxjZAizClFdlEF0U.jpg
41,Money Shot: The Pornhub Story,"Featuring interviews with performers, activists and past employees, this documentary offers a deep dive into the successes and scandals of Pornhub.",2023-03-15,/kpTqWqLYcf1uErnx5VXLah4EWJZ.jpg
42,Fall,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",2022-08-11,/v28T5F1IygM8vXWZIycfNEm3xcL.jpg
43,13 Exorcisms,"After participating in a séance, young Laura begins to behave strangely. Alarmed, her parents ask Father Olmedo, one of the few exorcists authorized by the Vatican to intervene in cases of demonic possession, for help.",2022-11-04,/8LpnMIqpRiwxpbGR33ALCmVl7gj.jpg
44,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",2020-10-16,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg
45,Consecration,"After the alleged suicide of her priest brother, Grace travels to the remote Scottish convent where he fell to his death. Distrusting the Church's account, she uncovers murder, sacrilege and a disturbing truth about herself.",2023-02-09,/yQTRmPzKAdLodknnPVtImm6FWPZ.jpg
46,The Last Kingdom: Seven Kings Must Die,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",2023-04-14,/xUvSeFhdsJbKFOaHnB9TeTZpJKs.jpg
